Exercise Name,Body Part Engaged
Cross Crunch,Abs
Standing Cable Crunch,Abs
Walking,Cardio
Briskly Walking,Cardio
Weighted Lying Neck Extension (Neck Harness),Neck
Weighted Lying Neck Flexion (Neck Harness),Neck
Wrist Roller,Forearm
Seated Bench Leg Pull-in,Abs
Cross Body Mountain Climber,Abs
Gittleson Shrug,"Neck, Trapezius"
Running,Cardio
Sprint,Cardio
Barbell Hang Clean,Full Body
Arm Circles,Shoulders
Dumbbell Lateral Raise,Shoulders
Dumbbell Shoulder Press,Shoulders
Smith Machine Behind The Neck Press,Shoulders
Smith Machine Shoulder Press,Shoulders
Cable Lateral Raise,Shoulders
45 Degree Incline Dumbbell Row,"Shoulders, Trapezius"
Lever Shoulder Press,Shoulders
Standing Close Grip Military Press,Shoulders
Barbell Military Press (Overhead press),Shoulders
Diagonal Neck Stretch,Neck
Neck Rotation Stretch,Neck
Neck Flexion Stretch,Neck
Neck Extension Stretch,Neck
Walk Wave Machine,Cardio
Dumbbell Seated Neutral Wrist Curl,Forearm
Dumbbell Wrist Curl,Forearm
Barbell Reverse Wrist Curl,Forearm
Side Neck Stretch,Neck
Side Push Neck Stretch,Neck
Front and Back Neck Stretch,Neck
Chin Tuck,Neck
Jump Rope,Cardio
Stationary Bike,Cardio
Treadmill,Cardio
Incline Treadmill,Cardio
Rowing Machine,"Cardio, Full Body"
Manual Treadmill,Cardio
Elliptical Machine,Cardio
Stair Climber Machine,Cardio
Prone Cervical Extension,Neck
Dynamic Wrist Stretches,Forearm
Kneeling Neck Stretch,Neck
Dumbbell Chest Supported Lateral Raises,Shoulders
Dumbbell 6 Way Raise,Shoulders
Dumbbell 4 Way Lateral Raise,Shoulders
Smith Machine Reverse Kickback,Hip
Double Arm Dumbbell Curl,Biceps
Seated Back Extension,Erector Spinae
Dumbbell Shrug,Trapezius
Incline Chest Fly Machine,Chest
Cable Shrug,Trapezius
Barbell Shrug,Trapezius
Behind The Back Barbell Shrug,Trapezius
Dumbbell Incline Shrug,Trapezius
Prone Incline Shrug,Trapezius
Lever Shrug,Trapezius
Alternating Dumbbell Front Raise,Shoulders
Two Arm Cable Front Raise,Shoulders
Two Arm Dumbbell Front Raise,Shoulders
Dumbbell Front Raise,Shoulders
Cable Front Raise,Shoulders
Leaning Single Arm Dumbbell Lateral Raise,Shoulders
Seated Behind Neck Press,Shoulders
Rear Delt Fly Machine,"Shoulders, Trapezius"
Seated Rear Lateral Dumbbell Raise,Shoulders
Half Arnold Press,Shoulders
Arnold Press,Shoulders
Seated Dumbbell Lateral Raise,Shoulders
Lever Gripless Shrug,Trapezius
Cable Rear Delt Fly,"Shoulders, Trapezius"
Bent Over Lateral Raise,"Shoulders, Trapezius"
Bent Arm Lateral Raise,Shoulders
Cable Upright Row,"Shoulders, Trapezius"
Elbow To Knee Twists,Cardio
Face Pull,"Shoulders, Trapezius"
Half Kneeling High Cable Row Rope,"Shoulders, Trapezius"
Leaning Cable Lateral Raise,Shoulders
Dumbbell Raise,"Shoulders, Trapezius"
Dumbbell Upright Row,"Shoulders, Trapezius"
Weighted Neck Harness Extension,Neck
Lying Weighted Neck Flexion,Neck
Lying Weighted Neck Extension,Neck
Lever Neck Right Side Flexion (plate loaded),Neck
Lever Neck Extension (plate loaded),Neck
Cable Seated Neck Flexion with head harness,Neck
Cable Seated Neck Extension with head harness,Neck
Alternate Leg Raises,Abs
Bhekasana Frog Pose,Yoga
Balasana | Child Pose,Yoga
Anuvittasana | Standing Backbend Pose,Yoga
Anjaneyasana | Low Lunge Pose,Yoga
Eka Pada Setu Bandha Sarvangasana,Yoga
Dandayamana Bharmanasana | Balancing Table Pose,Yoga
Chaturanga Dandasana | Low Plank Pose,Yoga
Bitilasana | Cow Pose,Yoga
Side Bend With Resistance Band,N/A
Calf Raise with Resistance Band,Calf
Pada Hastasana | Hands to Feet Pose,Yoga
Titli Asana | Butterfly Pose,Yoga
Baddha Konasana | Butterfly Pose,Yoga
Makarasana - Crocodile Pose,Yoga
Ardha Uttanasana | Standing Half Forward Bend,Yoga
Ardha Kapotasana - Half Pigeon Pose,Yoga
Advasana | Reverse Corpse Pose,Yoga
Adho Mukha Vrksasana Yoga | Handstand Pose,Yoga
Adho Mukha Svanasana | Downward Facing Dog,Yoga
Tadasana | Mountain Pose,Yoga
Supta Baddha Konasana | Reclining Bound Angle,Yoga
Viparita Karani | Legs ups the Wall Pose,Yoga
Supta Matsyendrasana | Supine Spinal Twist,Yoga
Samakonasana | Straight Angle Pose,Yoga
Shoulderstand | Salamba Sarvangasana,Yoga
Nauka Sanchalanasan | Rowing the Boat Pose,Yoga
Malasana | Squat Pose or Garland Pose,Yoga
Full Lotus Pose,Yoga
Halasana | Plow Pose,Yoga
Locust Pose,Yoga
Wheel Pose | Chakrasana | Urdhva Dhanurasana,Yoga
Garudasana | Eagle Pose,Yoga
Crab Pose,Yoga
Childs Pose To Cobra Pose,Yoga
Camel Pose,Yoga
Bridge Pose,Yoga
Saithalyasana (Animal Relaxation Pose),Yoga
Lever Front Pulldown,Back / Wing
Pull-Up,"Back / Wing, Calisthenic"
Cable Rear Pulldown,Back / Wing
Lat Pulldown,Back / Wing
Seated Cable Row,Back / Wing
Barbell Bent Over Row,"Back / Wing, Erector Spinae, Full Body"
Cable Straight Arm Pulldown,Back / Wing
Legless Rope Climb,"Back / Wing, Calisthenic, Full Body"
Push-up Toe Touch,"Cardio, Full Body"
Lever T-Bar Row,Back / Wing
Dumbbell Row,Back / Wing
Bent Over Dumbbell Row,"Back / Wing, Erector Spinae, Full Body"
Dumbbell Bent Over Reverse Grip Row,Back / Wing
Reverse Lat-Pulldown,Back / Wing
Muscle-Up,"Back / Wing, Calisthenic, Full Body"
Barbell Squat,"Hip, Leg"
Seated Row Machine,Back / Wing
One Arm Cable Row,Back / Wing
Reverse Grip Barbell Row,Back / Wing
Crunches,Abs
Leg Press,Leg
Mountain Climber,"Abs, Cardio"
Bicycle Crunch,"Abs, Cardio"
Lying Scissor Kick,Abs
Plie Dumbbell Squat,"Hip, Leg"
Deadlift,"Back / Wing, Erector Spinae, Hip, Leg"
Dumbbell Kickback,Triceps
Dumbbell Curl,Biceps
Barbell Curl,Biceps
Leg Raise,Abs
Oblique Floor Crunches,Abs
T-Cross Sit-up,"Abs, Cardio"
Leg Curl,Leg
One-Arm Reverse Pushdown,Triceps
Push-down,Triceps
Concentration Curl,Biceps
Seated Leg Curl,Leg
Dead Bug,Abs
Decline Sit-up,Abs
Leg Extension,Leg
Reverse Crunch,Abs
Bench Dips,Triceps
Triceps Dips,Triceps
Dumbbell Preacher Curl,Biceps
EZ Bar Preacher Curl,Biceps
Hammer Curl,Biceps
Seated Incline Dumbbell Curl,Biceps
Barbell Seated Calf Raise,Calf
Kneeling Cable Crunch,Abs
Heel Touch,Abs
One-Arm Lying Triceps Extension,Triceps
Bodyweight Military Press,"Shoulders, Trapezius"
Lever Preacher Curl,Biceps
High Cable Single Arm Bicep Curl,Biceps
Cable Rope Overhead Triceps Extension,Triceps
Lever Triceps Dip,Triceps
Romanian Deadlift,"Back / Wing, Erector Spinae, Hip, Leg"
Pec Deck Fly,Chest
Dumbbell Pullover,Chest
Low Cable Crossover,Chest
High Cable Crossover,Chest
Cable Upper Chest Crossovers,Chest
Incline Barbell Bench Press,Chest
Dumbbell Fly,Chest
Dumbbell Bench Press,Chest
Cable Crossover,Chest
One-Arm Cable Chest Press,Chest
Lying Barbell Triceps Extension,Triceps
One Arm Cable Curl,Biceps
Push Press,"Full Body, Shoulders"
Single-Arm Cable Crossover,Chest
Incline Dumbbell Fly,Chest
Incline Dumbbell Press,Chest
Reverse Grip Incline Dumbbell Press,Chest
Sphinx Stretch,"Erector Spinae, Neck"
Standing Rotation,Abs
Upper Back Stretch,Back / Wing
Cable Tricep Kickback,Triceps
Machine Fly,Chest
Barbell Reverse Curl,Forearm
Barbell Hack Squat,"Hip, Leg"
Triceps Dips on Floor,Triceps
Kneeling High Pulley Row,"Back / Wing, Trapezius"
Cable One-Arm Wrist Curl On Floor,Forearm
Barbell Sumo Squat,"Hip, Leg"
Lever Standing Rear Kick,Hip
Dumbbell Seated Front and Back Tate Press,Triceps
Decline Dumbbell Press,Chest
Good Morning,"Erector Spinae, Hip, Leg"
Dumbbell Bulgarian Split Squat,Leg
Weighted Back Extension,Erector Spinae
Lever Incline Chest Press,Chest
Dumbbell Romanian Deadlift,"Erector Spinae, Hip, Leg"
Hack Squats Machine,Leg
Hand Gripper,Forearm
Sumo Deadlift,"Back / Wing, Erector Spinae, Hip, Leg"
Half Kneeling Lat Pulldown,Back / Wing
Power Skips,Cardio
Plyo Jacks,Cardio
Split Jacks,Cardio
Pistol Squat,Leg
Butt Kicks,Cardio
Fast Feet Run,Cardio
Wheel Run,Cardio
Dumbbell Lunge,"Hip, Leg"
Dumbbell Straight Leg Deadlift,"Back / Wing, Erector Spinae, Leg"
Lever Side Hip Abduction,"Hip, Leg"
Bodyweight Sumo Squat,"Hip, Leg"
Hawaiian Squat,Leg
Lever Standing Leg Raise,Leg
Lever Side Hip Adduction,"Hip, Leg"
Barbell Bulgarian Split Squat,Leg
Lever Deadlift,Leg
Dumbbell Rear Lunge,"Hip, Leg"
Barbell Lunge,Leg
Barbell Lateral Lunge,"Hip, Leg"
Leg Press Calf Raise,Calf
Side Lunge,Leg
Standing Hip Abduction,Hip
Cable Hip Adduction,"Hip, Leg"
Zig Zag Hops Plyometric,"Cardio, Leg"
Bodyweight Squat,"Cardio, Hip, Leg"
Upavistha Konasana,"Leg, Yoga"
Side Lying Clam,Hip
Seated Hamstring Stretch,"Erector Spinae, Leg"
Hack Squat Calf Raise,Calf
Kneeling Quad Stretch,Leg
Lateral Speed Step,"Cardio, Leg"
Kettlebell Single Leg Deadlift,"Erector Spinae, Hip"
Seated Groin / Adductor Stretch,Leg
Reverse Lunge Knee Lift,"Hip, Leg"
Lying Hamstring Stretch,Leg
Curtsy Squat,"Cardio, Hip, Leg"
Cable Goblet Squat,"Hip, Leg"
Cable Donkey Kickback,Hip
Bridge Hip Abduction,Hip
Standing Toe Touch,Abs
Thigh fly (Adductor Magnus Stretch),"Hip, Leg"
Split Jump Squat,"Cardio, Hip, Leg"
Cossack Squat,"Hip, Leg"
Glute Kickback Machine,Hip
Lever Seated Calf Raise,Calf
Single Leg Calf Raise,Calf
Crunch With Leg Raise,Abs
Alternate Lying Floor Leg Raise,Abs
Chest Dips,Chest
Hack Machine One-Leg Calf Raise,Calf
Assisted Chest Dip,Chest
Donkey Calf Raise,Calf
Lever Donkey Calf Raise,Calf
Standing Calf Raise on the Bench Press Machine,Calf
Lying Cable Fly,Chest
Drop Push-Up,Chest
Weighted Crunch,Abs
Seated Side Crunch,"Abs, Leg"
Standing Cross Leg Hamstring Stretch,"Calf, Hip, Leg"
Backward Jump,"Cardio, Leg"
Jumping jack,"Cardio, Leg"
Single Leg Broad Jump,"Cardio, Leg"
Incline Leg Hip Raise,Abs
Bodyweight Windmill,"Abs, Leg"
Front to Side Plank,Abs
Tuck Crunch,Abs
Dumbbell Side Bend,Abs
Double Leg Stretch,Abs
Spider Plank,"Abs, Cardio"
Captains Chair Leg Raise,"Abs, Calisthenic"
Bench Side Bend,Abs
Crab Twist Toe Touch,Abs
Quarter Sit-up,Abs
Weighted Sit-ups,Abs
Lying Knee Raise,Abs
Floor Crunch,Abs
Ez Bar Upright Row,"Shoulders, Trapezius"
Inner Chest Press Machine,Chest
Decline Dumbbell Fly,Chest
Incline Dumbbell Hammer Press,Chest
Run in Place,Cardio
Jump Squats,"Cardio, Hip, Leg"
Kneeling Cable Triceps Extension,Triceps
Cable Rear Drive,Triceps
Short Stride Run,Cardio
Hyperextension,Erector Spinae
Reverse Plank,"Abs, Hip"
Dumbbell Lying One-Arm Rear Lateral Raise,Shoulders
Lateral Raise Machine,Shoulders
Scott Press,Shoulders
Band Pull-Apart,"Shoulders, Trapezius"
Bent Over Reverse Cable Fly,"Shoulders, Trapezius"
Bent-Over Barbell Reverse Raise,"Shoulders, Trapezius"
Weighted Round Arm,Shoulders
Weight Plate Front Raise,Shoulders
Dumbbell Upward Fly,Chest
Two Arm Cable Lateral Raise,Shoulders
Landmine Squat to Press,"Full Body, Hip, Leg, Shoulders"
Cable Shoulder Press,Shoulders
Barbell Rear Delt Raise,"Shoulders, Trapezius"
Double Cable Front Raise,Shoulders
Standing Hip Extension,Hip
Standing Smith Machine Shoulder Press,Shoulders
Dumbbell W Press,Shoulders
Dumbbell One Arm Shoulder Press,Shoulders
Dumbbell Scaption,Shoulders
Barbell Clean and Press,"Full Body, Leg, Shoulders"
Dumbbell Cuban Press,Shoulders
Dumbbell Cuban External Rotation,Shoulders
Standing Alternating Dumbbell Shoulder Press,Shoulders
Narrow Grip Wall Push-Up,"Chest, Triceps"
Cable External Shoulder Rotation,Shoulders
Cable Internal Shoulder Rotation,Shoulders
Across Chest Shoulder Stretch,"Back / Wing, Shoulders"
Standing Reach Up Back rotation Stretch,"Back / Wing, Shoulders"
Shoulder Stretch Behind The Back,"Back / Wing, Chest, Shoulders, Triceps"
Incline Dumbbell Side Lateral Raise,Shoulders
Body Ups,Triceps
Bench Glute Flutter Kicks,Hip
Dumbbell Side Lying Rear Delt Raise,Shoulders
Dumbbell Lateral Step Up,"Hip, Leg"
Smith Machine Bent Over Row,Back / Wing
Incline Reverse Grip Dumbbell Row,Back / Wing
Lateral Step-up,"Cardio, Leg"
Step Up + Opposite Elbow to Knee Twist,"Cardio, Leg"
Band Assisted Sprinter Run,Cardio
Barbell Step-Up,"Hip, Leg"
Power Clean,Full Body
Barbell Pullover,"Back / Wing, Chest"
Lying Cable Pullover,"Back / Wing, Chest"
Weighted Pull-up,Back / Wing
Reverse grip Pull-up,Back / Wing
Close Grip Chin Up,"Back / Wing, Calisthenic"
Assisted Pull-up,Back / Wing
Lying Cable Reverse Fly,Shoulders
Floor Hyperextension,"Erector Spinae, Neck"
Flat Bench Hyperextension,Erector Spinae
Lying Glute Stretch,"Hip, Leg"
Decline Chest Press Machine,Chest
Lying Chest Press Machine,Chest
Wall Push-up,"Chest, Triceps"
Cable Lying Triceps Extensions,Triceps
Single Arm Circles,Shoulders
Lying Dumbbell Leg Curl,Leg
Standing Barbell Calf Raise,Calf
Table Inverted Row,Back / Wing
Chair Dips,Triceps
Reverse Hyperextension Machine,"Erector Spinae, Hip"
Stability Ball Knee Tuck,Abs
Smith Machine Hex Press,Chest
Close-grip Incline Dumbbell Press,Chest
Hanging Knee Raises,"Abs, Calisthenic"
Hanging Side Knee Raises,"Abs, Calisthenic"
Smith Machine Shrug,Trapezius
Hanging Windshield Wiper,"Abs, Calisthenic"
Toes to Bar,"Abs, Calisthenic"
Weighted Hanging Knee Raises,Abs
Kneeling Push-up,Chest
Lying Cable Curl,Biceps
Zottman Curl,Biceps
Dumbbell Reverse Curl,"Biceps, Forearm"
Seated Close-Grip Concentration Curl,Biceps
Biceps Leg Concentration Curl,Biceps
Prone Incline Barbell Curl,Biceps
Overhead Cable Curl,Biceps
Seated Hammer Curl,"Biceps, Forearm"
Seated Biceps Curl,Biceps
Seated One-Arm Dumbbell Triceps Extension,Triceps
Seated Dumbbell Triceps Extension,Triceps
Cable One Arm Lat Pulldown,Back / Wing
Decline Cable Fly,Chest
Single Arm Cable Preacher Curl,Biceps
Smith Machine Bench Press,Chest
Cable Concentration Curl,Biceps
Smith Machine Incline Bench Press,Chest
Reverse Grip Machine Row,Back / Wing
Reverse Grip EZ-Bar Curl,"Biceps, Forearm"
Dumbbell Scott Hammer Curl,"Biceps, Forearm"
Lever Triceps Extension,Triceps
Bench Dips on Floor,Triceps
Teaser Pilates,Abs
Seated Oblique Twist,Abs
Turkish Get-up,Full Body
Parallel Bar Dips,"Calisthenic, Chest, Triceps"
Bodyweight Hip Thrust,Hip
Close Grip Cable Row,Back / Wing
Rope Straight Arm Pulldown,Back / Wing
Side Bridge,Abs
V-bar Lat Pulldown,Back / Wing
One-Arm Barbell Row,Back / Wing
Plank With Arm And Leg Lift,"Abs, Hip, Leg"
T-Bar Row,"Back / Wing, Erector Spinae"
Weighted Front Plank,"Abs, Leg"
Backward Running,Cardio
Dumbbell Lateral to Front Raise,Shoulders
Resistance Band Bicycle Crunch,N/A
Incline Cable Row,Back / Wing
One-Arm Bent Over Cable Lateral Raise,Shoulders
Cable Bent Over Row,Back / Wing
Standing Side Bend Stretch,Back / Wing
Handstand Push-Up,"Calisthenic, Shoulders"
EZ Bar Underhand Press,Shoulders
Back and Pec Stretch,"Back / Wing, Chest"
Lying High Bench Barbell Curl,Biceps
Single Leg Bridge,Hip
Partner Donkey Calf Raise,Calf
Double Cable Neutral Grip Lat Pulldown On Floor,Back / Wing
Cable Side Bend,Abs
Dumbbell Lying External Shoulder Rotation,Shoulders
Lever Incline Hammer Chest Press,Chest
Lever Crossovers,Chest
Incline Dumbbell Reverse Fly,"Shoulders, Trapezius"
Incline Dumbbell Y-Raise,"Shoulders, Trapezius"
Dumbbell Incline T-Raise,"Shoulders, Trapezius"
Dumbbell Skull Crusher,Triceps
Dumbbell Incline Two-Arm Extension,Triceps
One-Arm Pronated Dumbbell Triceps Extension,Triceps
Cable Rope Hammer Curl,Biceps
Seated EZ-Bar Overhead Triceps Extension,Triceps
Incline Barbell Row,Back / Wing
Smith Machine Good Morning,"Erector Spinae, Hip, Leg"
Reverse Grip Dumbbell Bench Press,Chest
Cable Pull Through,"Erector Spinae, Hip"
Bench Supported Dumbbell External Rotation,Shoulders
Kneeling Single Arm High Pulley Row,Back / Wing
Barbell Side Bend,Abs
Seated Barbell Twist,Abs
Bent Over Twist,Abs
Dumbbell Seated Bent Over Rear Delt Row,Shoulders
Cable Incline Triceps Extension,Triceps
Lever Chest Press,Chest
Incline Push-up,Chest
Svend Press,Chest
Dumbbell V-up,Abs
Reverse Push-up,"Calisthenic, Chest, Triceps"
Dumbbell Standing Palms In Press,Shoulders
Side Shuttle,Cardio
Biceps Curl Machine,Biceps
Dumbbell High Curl,Biceps
Lying Shoulder Press,Shoulders
Cable Side Triceps Extension,Triceps
Dumbbell Rear Delt Row,Shoulders
Lever Lying Crunch,Abs
Lever Lateral Raise,Shoulders
Alternate Dumbbell Bench Press,Chest
Twisting Hyperextension,"Abs, Erector Spinae"
Squat Hold Calf Raise,Calf
Ab Roller Crunch,Abs
Incline EZ-Bar Triceps Extension,Triceps
Bodyweight Walking Lunge,Leg
High Pulley Overhead Tricep Extension,Triceps
Rope Pushdown,Triceps
Reverse Grip Pushdown,Triceps
Standing Cable High-To-Low Twist,Abs
Standing Cable Low-To-High Twist,Abs
Standing Cable Twist,Abs
Cross Arm Push-up,"Calisthenic, Triceps"
Upside Down Pull-up,"Back / Wing, Calisthenic"
Cable Concentration Tricep Extension,Triceps
Tuck Jump,Cardio
L-Sit,"Abs, Calisthenic"
Close-Grip Dumbbell Press,"Chest, Triceps"
Wall Sit,"Hip, Leg"
High Knee Squat,"Abs, Cardio, Hip, Leg"
